epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,3050.99,0.57599,0.34499,0.79528,0.67845,0.65447,0.68864,0.5782,0.64171,0.7286,0.80117,0.000133713,0.000133713,0.000133713
96,3082.99,0.58015,0.3437,0.79799,0.80828,0.57354,0.68992,0.57385,0.65193,0.68668,0.79831,0.000132869,0.000132869,0.000132869
97,3115.66,0.55075,0.33067,0.80003,0.84336,0.54224,0.67632,0.56802,0.64961,0.72401,0.80363,0.000132026,0.000132026,0.000132026
98,3148.35,0.55709,0.32486,0.79366,0.71688,0.61302,0.68436,0.57729,0.61948,0.6512,0.79689,0.000131182,0.000131182,0.000131182
99,3182.01,0.54259,0.32803,0.80033,0.66113,0.64914,0.70453,0.58894,0.69198,0.67579,0.81566,0.000130339,0.000130339,0.000130339
100,3215.13,0.53767,0.33384,0.79338,0.70358,0.66124,0.72749,0.60574,0.69092,0.66658,0.81302,0.000129495,0.000129495,0.000129495
101,3243.37,0.54778,0.32569,0.79481,0.71554,0.67035,0.72433,0.62251,0.59414,0.67131,0.79257,0.000128652,0.000128652,0.000128652
102,3272.68,0.54649,0.33047,0.79524,0.66158,0.67184,0.71118,0.60779,0.60334,0.66957,0.79657,0.000127809,0.000127809,0.000127809
103,3302.65,0.53878,0.34104,0.78695,0.69701,0.66665,0.71997,0.60749,0.64917,0.67743,0.80315,0.000126965,0.000126965,0.000126965
104,3331.5,0.53264,0.32814,0.80412,0.78852,0.58823,0.71044,0.58206,0.71142,0.71617,0.81033,0.000126122,0.000126122,0.000126122
105,3360.52,0.52924,0.32661,0.80019,0.86119,0.55836,0.71309,0.59849,0.63999,0.70947,0.80006,0.000125278,0.000125278,0.000125278
106,3390.21,0.59577,0.34524,0.80466,0.76201,0.61,0.68196,0.58492,0.60239,0.71051,0.79429,0.000124435,0.000124435,0.000124435
107,3420.82,0.55997,0.3275,0.79673,0.75275,0.58964,0.68918,0.59839,0.58886,0.70325,0.79484,0.000123591,0.000123591,0.000123591
108,3450.14,0.51935,0.31698,0.77739,0.74079,0.64193,0.7098,0.60937,0.61465,0.67404,0.7978,0.000122748,0.000122748,0.000122748
109,3479.33,0.5362,0.31964,0.80192,0.74506,0.63336,0.67775,0.56964,0.62752,0.81287,0.80438,0.000121904,0.000121904,0.000121904
110,3511.93,0.57374,0.32986,0.80285,0.79782,0.61729,0.68783,0.55192,0.77609,0.78411,0.8245,0.000121061,0.000121061,0.000121061
111,3546.69,0.53205,0.32244,0.79408,0.79262,0.61449,0.69139,0.57898,0.6819,0.75861,0.80723,0.000120217,0.000120217,0.000120217
112,3580.52,0.54749,0.32324,0.78471,0.82488,0.57963,0.6922,0.599,0.57622,0.77947,0.79281,0.000119374,0.000119374,0.000119374
